implementation,size,block_size,num_warps,grid_size,median_ms,effective_gbps,percent_of_measured_pytorch_reference
pytorch,128,framework,framework,framework,0.00487423986196518,0.31512605934430166,0.037741176913691554
triton,128,128,2,1,0.01992784023284912,0.07707809687615079,0.00923128381202875
triton,128,128,4,1,0.011944640278816223,0.12859324049499343,0.015401012056968089
triton,128,128,8,1,0.012953280210494996,0.11858000251978672,0.01420177329300325
triton,128,256,2,1,0.026624000072479247,0.05769230753525034,0.006909538328177481
triton,128,256,4,1,0.02017791986465454,0.07612281197977179,0.009116873799882385
triton,128,256,8,1,0.023203840255737303,0.06619593925278011,0.007927978598486953
triton,128,512,2,1,0.013675520420074461,0.11231748063827152,0.013451740284790837
triton,128,512,4,1,0.013583039641380312,0.11308219960726783,0.013543327105500616
triton,128,512,8,1,0.013368319869041443,0.11489850744498507,0.013760857815514399
triton,128,1024,2,1,0.020249600410461425,0.07585334865207838,0.009084601435155108
triton,128,1024,4,1,0.013434879779815674,0.11432927016642601,0.013692682924232261
triton,128,1024,8,1,0.020218719244003296,0.07596920366039331,0.009098476848614246
pytorch,1000,framework,framework,framework,0.006497280001640319,1.846926713481711,0.22119778981520974
triton,1000,128,2,8,0.013271039724349976,0.904224555818498,0.1082947535404047
triton,1000,128,4,8,0.012984319925308227,0.9241916456949237,0.11068611867550582
triton,1000,128,8,8,0.012026879787445068,0.9977650240195193,0.11949765870892681
triton,1000,256,2,4,0.013076800107955932,0.917655688007282,0.1099033375373703
triton,1000,256,4,4,0.013112319707870483,0.9151698759142648,0.10960562342838177
triton,1000,256,8,4,0.016000000238418577,0.7499999888241293,0.08982399717235573
triton,1000,512,2,2,0.01614288032054901,0.7433617645498277,0.08902896804258309
triton,1000,512,4,2,0.014694399833679199,0.8166376399052583,0.0978048775343251
triton,1000,512,8,2,0.020925439596176147,0.573464655059999,0.0686811844295031
triton,1000,1024,2,1,0.02132480025291443,0.5627250833620342,0.06739495606656308
triton,1000,1024,4,1,0.013460479974746704,0.8914986703678679,0.10677063365271605
triton,1000,1024,8,1,0.024084479808807374,0.49824617742467325,0.059672618532032484
pytorch,100003,framework,framework,framework,0.006783999875187874,176.89210231106713,21.185541246090963
triton,100003,128,2,782,0.017228800058364867,69.65290652481411,8.342003429280549
triton,100003,128,4,782,0.014027199894189834,85.55064510751454,10.246001358318106
triton,100003,128,8,782,0.014079999923706055,85.22983000728124,10.207578831537292
triton,100003,256,2,391,0.013951200246810912,86.0166852149022,10.301816806200744
triton,100003,256,4,391,0.014105600118637086,85.07514674362895,10.189053139212021
triton,100003,256,8,391,0.014030399918556213,85.53113289471287,10.243664471686584
triton,100003,512,2,196,0.014131200313568116,84.92102393083917,10.170594569469998
triton,100003,512,4,196,0.014182400703430176,84.61444751802546,10.13387734380595
triton,100003,512,8,196,0.014079999923706055,85.22983000728124,10.207578831537292
triton,100003,1024,2,98,0.014082400500774382,85.21530117922798,10.205838781631398
triton,100003,1024,4,98,0.014079999923706055,85.22983000728124,10.207578831537292
triton,100003,1024,8,98,0.014031200110912322,85.52625509679032,10.243080280602143
pytorch,1000000,framework,framework,framework,0.015667200088500977,765.9313682224218,91.73202410481947
triton,1000000,128,2,7813,0.01674239933490753,716.7431477387034,85.8409805801791
triton,1000000,128,4,7813,0.01653759926557541,725.6192272707408,86.90402718640284
triton,1000000,128,8,7813,0.017664000391960144,679.3478110123831,81.3623156862894
triton,1000000,256,2,3907,0.016383999586105348,732.4218935025333,87.71875076170186
triton,1000000,256,4,3907,0.01658879965543747,723.3796446547984,86.63580283232378
triton,1000000,256,8,3907,0.01648640036582947,727.8726546561246,87.1739096638815
triton,1000000,512,2,1954,0.016281600296497344,737.0282884650815,88.27043718071018
triton,1000000,512,4,1954,0.016382400691509248,732.4933766404224,87.72731196339691
triton,1000000,512,8,1954,0.01653759926557541,725.6192272707408,86.90402718640284
triton,1000000,1024,2,977,0.016076800227165223,746.4171869053527,89.39490171339996
triton,1000000,1024,4,977,0.016128000617027283,744.047590581742,89.11110622454225
triton,1000000,1024,8,977,0.016332800686359405,734.7178374632336,87.99372525091106
pytorch,10000000,framework,framework,framework,0.1437183976173401,834.9661698811036,100.0
triton,10000000,128,2,78125,0.14515199661254882,826.7195960129537,99.01234634819706
triton,10000000,128,4,78125,0.14502399563789367,827.4492746677909,99.09973655407103
triton,10000000,128,8,78125,0.1457152009010315,823.5242394614887,98.62965341203655
triton,10000000,256,2,39063,0.14438400268554688,831.1170058177936,99.53900359054569
triton,10000000,256,4,39063,0.14499839544296264,827.5953649928758,99.11723311026154
triton,10000000,256,8,39063,0.1448695957660675,828.3311578626448,99.20535558711275
triton,10000000,512,2,19532,0.14387199878692628,834.0747401286849,99.8932376203283
triton,10000000,512,4,19532,0.1438928008079529,833.9541611964206,99.87879644455211
triton,10000000,512,8,19532,0.14510079622268676,827.0113129898717,99.04728392859741
triton,10000000,1024,2,9766,0.14402559995651246,833.1852117695269,99.78670296165048
triton,10000000,1024,4,9766,0.14394879937171937,833.6297386553651,99.83994187142589
triton,10000000,1024,8,9766,0.14387199878692628,834.0747401286849,99.8932376203283
