implementation,rows,hidden_size,block_size,num_warps,median_ms
pytorch_rmsnorm,128,256,framework,framework,0.09377279877662659
pytorch_residual_norm,128,256,framework,framework,0.09945600032806397
triton_rmsnorm,128,256,256,2,0.02961919903755188
triton_fused_residual,128,256,256,2,0.03256320059299469
triton_rmsnorm,128,256,256,4,0.014771199971437454
triton_fused_residual,128,256,256,4,0.01587199941277504
triton_rmsnorm,128,256,256,8,0.020683199912309644
triton_fused_residual,128,256,256,8,0.016025599837303162
triton_rmsnorm,128,256,512,2,0.017459200322628023
triton_fused_residual,128,256,512,2,0.018636800348758698
triton_rmsnorm,128,256,512,4,0.014591999351978302
triton_fused_residual,128,256,512,4,0.016000000387430192
triton_rmsnorm,128,256,512,8,0.014643199741840363
triton_fused_residual,128,256,512,8,0.015770400315523146
pytorch_rmsnorm,128,1024,framework,framework,0.0957720011472702
pytorch_residual_norm,128,1024,framework,framework,0.11202559471130372
triton_rmsnorm,128,1024,1024,2,0.01720480024814606
triton_fused_residual,128,1024,1024,2,0.015974399447441102
triton_rmsnorm,128,1024,1024,4,0.014593599736690522
triton_fused_residual,128,1024,1024,4,0.018892799317836762
triton_rmsnorm,128,1024,1024,8,0.014796799421310425
triton_fused_residual,128,1024,1024,8,0.01971199959516525
triton_rmsnorm,128,1024,2048,2,0.014847999811172486
triton_fused_residual,128,1024,2048,2,0.01966079995036125
triton_rmsnorm,128,1024,2048,4,0.01462000012397766
triton_fused_residual,128,1024,2048,4,0.016000000387430192
triton_rmsnorm,128,1024,2048,8,0.029235199093818665
triton_fused_residual,128,1024,2048,8,0.016102399677038193
pytorch_rmsnorm,128,4096,framework,framework,0.09912319779396057
pytorch_residual_norm,128,4096,framework,framework,0.11648000478744507
triton_rmsnorm,128,4096,4096,2,0.028594399988651275
triton_fused_residual,128,4096,4096,2,0.015820799767971037
triton_rmsnorm,128,4096,4096,4,0.014566399902105332
triton_fused_residual,128,4096,4096,4,0.016128000617027283
triton_rmsnorm,128,4096,4096,8,0.0144896000623703
triton_fused_residual,128,4096,4096,8,0.015513600409030914
triton_rmsnorm,128,4096,8192,2,0.014950399845838548
triton_fused_residual,128,4096,8192,2,0.02396159991621971
triton_rmsnorm,128,4096,8192,4,0.014720000326633453
triton_fused_residual,128,4096,8192,4,0.01955839991569519
triton_rmsnorm,128,4096,8192,8,0.017715200036764144
triton_fused_residual,128,4096,8192,8,0.016025599837303162
