Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.9,40623116,6496,6253.6,5400.0,3810,122560,2659.1,cudaLaunchKernel
0.5,221899,1,221899.0,221899.0,221899,221899,0.0,cudaEventSynchronize
0.2,74750,4,18687.5,13955.0,10800,36040,11747.3,cudaMemcpyAsync
0.1,47609,4,11902.3,10179.5,9290,17960,4116.4,cudaMemsetAsync
0.1,36350,2,18175.0,18175.0,6360,29990,16708.9,cudaEventRecordWithFlags_v11010
0.1,32409,4,8102.3,7815.0,5189,11590,2835.4,cudaStreamSynchronize
0.0,19420,2,9710.0,9710.0,2720,16700,9885.4,cudaEventCreateWithFlags
0.0,9770,6,1628.3,1090.0,900,4450,1388.6,cudaStreamIsCapturing_v10000
0.0,9360,1,9360.0,9360.0,9360,9360,0.0,cuProfilerStart
0.0,2620,2,1310.0,1310.0,630,1990,961.7,cudaEventQuery
