Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
38.8,191290912,1,191290912.0,191290912.0,191290912,191290912,0.0,PushPop,:decode_S2048
1.5,7271249,4,1817812.3,1672140.5,1579291,2347677,362078.4,PushPop,:model.layers.0
1.4,6847864,4,1711966.0,1570146.5,1520682,2186889,319724.8,PushPop,:model.layers.18
1.4,6675004,4,1668751.0,1636251.5,1519982,1882519,171084.1,PushPop,:model.layers.23
1.3,6652172,4,1663043.0,1546276.0,1536851,2022769,239859.2,PushPop,:model.layers.22
1.3,6635233,4,1658808.3,1624065.5,1391462,1995640,257249.7,PushPop,:model.layers.11
1.3,6628694,4,1657173.5,1576026.5,1502572,1974069,217559.2,PushPop,:model.layers.1
1.3,6595655,4,1648913.8,1565802.0,1536702,1927349,186174.3,PushPop,:model.layers.10
1.3,6573684,4,1643421.0,1540771.5,1482602,2009539,245781.3,PushPop,:model.layers.19
1.3,6555203,4,1638800.8,1544721.0,1534932,1930829,194750.3,PushPop,:model.layers.27
1.3,6546383,4,1636595.8,1571736.5,1486221,1916689,191075.3,PushPop,:model.layers.12
1.3,6538214,4,1634553.5,1530866.5,1489732,1986749,235596.5,PushPop,:model.layers.13
1.3,6535793,4,1633948.3,1546896.0,1513571,1928430,197806.3,PushPop,:model.layers.9
1.3,6535196,4,1633799.0,1542732.0,1518262,1931470,199076.5,PushPop,:model.layers.14
1.3,6531384,4,1632846.0,1555131.5,1502451,1918670,192704.7,PushPop,:model.layers.17
1.3,6518195,4,1629548.8,1559852.0,1543571,1854920,150800.9,PushPop,:model.layers.25
1.3,6517185,4,1629296.3,1540967.0,1464152,1971099,231202.9,PushPop,:model.layers.15
1.3,6495725,4,1623931.3,1544672.0,1484022,1922359,201349.8,PushPop,:model.layers.20
1.3,6477375,4,1619343.8,1525201.5,1512362,1914610,197025.6,PushPop,:model.layers.21
1.3,6472197,4,1618049.3,1553127.0,1434783,1931160,216510.4,PushPop,:model.layers.8
1.3,6470725,4,1617681.3,1521397.0,1482072,1945859,219937.6,PushPop,:model.layers.16
1.3,6449906,4,1612476.5,1549317.0,1386512,1964760,247670.9,PushPop,:model.layers.6
1.3,6410434,4,1602608.5,1530081.0,1499812,1850460,166059.1,PushPop,:model.layers.24
1.3,6405654,4,1601413.5,1547986.0,1501312,1808370,139714.6,PushPop,:model.layers.26
1.3,6393825,4,1598456.3,1548116.5,1399343,1898249,211829.2,PushPop,:model.layers.7
1.3,6353076,4,1588269.0,1530796.5,1395593,1895890,214779.2,PushPop,:model.layers.5
1.3,6348586,4,1587146.5,1512827.0,1412302,1910630,221986.7,PushPop,:model.layers.3
1.3,6318626,4,1579656.5,1541997.0,1391532,1843100,189576.2,PushPop,:model.layers.4
1.3,6232695,4,1558173.8,1470107.0,1364312,1928169,258334.6,PushPop,:model.layers.2
0.3,1393283,4,348320.8,291708.5,232639,577227,156450.5,PushPop,:model.rotary_emb
0.2,871235,4,217808.8,175229.0,156969,363808,98419.5,PushPop,:model.layers.23.post_attention_layernorm
0.2,806186,4,201546.5,176739.0,166819,285889,56987.0,PushPop,:model.layers.0.input_layernorm
0.2,792586,4,198146.5,159484.0,153339,320279,81569.6,PushPop,:model.layers.22.self_attn.k_norm
0.2,753016,4,188254.0,181104.0,168479,222329,23682.6,PushPop,:model.layers.0.self_attn.q_norm
0.1,735846,4,183961.5,179239.0,164369,212999,23481.8,PushPop,:model.layers.1.input_layernorm
0.1,717047,4,179261.8,181244.5,159189,195369,16561.0,PushPop,:model.layers.0.post_attention_layernorm
0.1,715776,4,178944.0,163164.0,141839,247609,47292.2,PushPop,:model.layers.19.self_attn.k_norm
0.1,712778,4,178194.5,177460.0,157199,200659,23513.8,PushPop,:model.layers.18.input_layernorm
0.1,707946,4,176986.5,176304.0,157849,197489,16508.2,PushPop,:model.layers.10.input_layernorm
0.1,706646,4,176661.5,169804.0,157359,209679,24637.8,PushPop,:model.layers.19.post_attention_layernorm
0.1,705966,4,176491.5,160239.0,152999,232489,37774.1,PushPop,:model.layers.20.self_attn.k_norm
0.1,704036,4,176009.0,176809.0,152869,197549,20096.9,PushPop,:model.layers.24.self_attn.k_norm
0.1,703506,4,175876.5,164464.0,157389,217189,28242.1,PushPop,:model.layers.13.self_attn.q_norm
0.1,702505,4,175626.3,172439.0,142709,214918,31735.6,PushPop,:model.layers.6.post_attention_layernorm
0.1,702067,4,175516.8,172509.5,157599,199449,17435.4,PushPop,:model.layers.25.input_layernorm
0.1,693146,4,173286.5,165949.0,156639,204609,22268.0,PushPop,:model.layers.15.self_attn.q_norm
0.1,690256,4,172564.0,163439.0,157089,206289,23098.5,PushPop,:model.layers.18.self_attn.q_norm
0.1,689997,4,172499.3,161524.5,153879,213069,27285.7,PushPop,:model.layers.12.self_attn.k_norm
0.1,689736,4,172434.0,166134.0,156209,201259,20698.3,PushPop,:model.layers.20.self_attn.q_norm
0.1,689346,4,172336.5,166844.0,155009,200649,19682.8,PushPop,:model.layers.9.self_attn.k_norm
0.1,689185,4,172296.3,160414.0,157279,211078,25972.3,PushPop,:model.layers.8.post_attention_layernorm
0.1,689096,4,172274.0,168564.0,148989,202979,22454.2,PushPop,:model.layers.7.self_attn.q_norm
0.1,688966,4,172241.5,164139.0,157409,203279,21632.3,PushPop,:model.layers.21.post_attention_layernorm
0.1,687586,4,171896.5,164209.0,154539,204629,22826.4,PushPop,:model.layers.16.post_attention_layernorm
0.1,685587,4,171396.8,165009.5,155579,199989,20198.7,PushPop,:model.layers.10.self_attn.k_norm
0.1,685096,4,171274.0,156294.0,154149,218359,31415.4,PushPop,:model.layers.15.self_attn.k_norm
0.1,684966,4,171241.5,157489.0,156569,213419,28123.0,PushPop,:model.layers.22.self_attn.q_norm
0.1,684417,4,171104.3,157684.5,151469,217579,31306.7,PushPop,:model.layers.11.self_attn.k_norm
