Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.0,40294710,6496,6203.0,5180.0,4120,390908,13404.7,cudaLaunchKernel
0.6,233188,1,233188.0,233188.0,233188,233188,0.0,cudaEventSynchronize
0.1,59120,4,14780.0,13320.0,9610,22870,6205.8,cudaMemcpyAsync
0.1,37570,4,9392.5,8470.0,8060,12570,2127.2,cudaMemsetAsync
0.1,23770,2,11885.0,11885.0,5060,18710,9652.0,cudaEventRecordWithFlags_v11010
0.1,23249,4,5812.3,5504.5,4810,7430,1152.6,cudaStreamSynchronize
0.0,16610,6,2768.3,1075.0,1000,9440,3358.7,cudaStreamIsCapturing_v10000
0.0,13770,2,6885.0,6885.0,3050,10720,5423.5,cudaEventCreateWithFlags
0.0,5660,1,5660.0,5660.0,5660,5660,0.0,cuProfilerStart
0.0,2170,2,1085.0,1085.0,620,1550,657.6,cudaEventQuery
