Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
69.5,14275532,1,14275532.0,14275532.0,14275532,14275532,0.0,cudaEventSynchronize
18.7,3846620,549,7006.6,6360.0,4420,192129,8227.1,cudaLaunchKernel
5.8,1192344,141,8456.3,8170.0,7100,21640,1698.8,cuLaunchKernelEx
3.2,649096,84,7727.3,7710.0,6720,9560,629.7,cuLaunchKernel
2.1,427836,56,7639.9,7355.0,6690,15370,1621.4,cudaMemsetAsync
0.4,86408,84,1028.7,870.0,540,11570,1529.4,cuKernelGetFunction
0.1,19070,2,9535.0,9535.0,5310,13760,5975.1,cudaEventRecordWithFlags_v11010
0.1,14140,1,14140.0,14140.0,14140,14140,0.0,cudaMemcpyAsync
0.1,13260,2,6630.0,6630.0,3220,10040,4822.5,cudaEventCreateWithFlags
0.0,7071,1,7071.0,7071.0,7071,7071,0.0,cuProfilerStart
0.0,5989,1,5989.0,5989.0,5989,5989,0.0,cudaStreamSynchronize
0.0,4760,3,1586.7,1320.0,1010,2430,746.6,cudaStreamIsCapturing_v10000
0.0,2050,2,1025.0,1025.0,770,1280,360.6,cudaEventQuery
