Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.2,13178600,1,13178600.0,13178600.0,13178600,13178600,0.0,cudaEventSynchronize
40.5,9853905,1509,6530.1,5250.0,4080,249109,10807.9,cudaLaunchKernel
2.8,680646,84,8102.9,7795.0,6469,23740,1932.5,cuLaunchKernel
1.8,426721,56,7620.0,7260.0,6570,23500,2415.3,cudaMemsetAsync
0.3,83905,84,998.9,844.5,670,14480,1491.8,cuKernelGetFunction
0.1,36340,1,36340.0,36340.0,36340,36340,0.0,cudaMemcpyAsync
0.1,27040,2,13520.0,13520.0,5340,21700,11568.3,cudaEventRecordWithFlags_v11010
0.1,19670,2,9835.0,9835.0,9010,10660,1166.7,cudaEventCreateWithFlags
0.0,11610,1,11610.0,11610.0,11610,11610,0.0,cudaStreamSynchronize
0.0,5900,1,5900.0,5900.0,5900,5900,0.0,cuProfilerStart
0.0,5410,3,1803.3,1140.0,1030,3240,1245.4,cudaStreamIsCapturing_v10000
0.0,2370,2,1185.0,1185.0,710,1660,671.8,cudaEventQuery
