Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
44.4,66625256,1,66625256.0,66625256.0,66625256,66625256,0.0,PushPop,:prefill_S2048
1.4,2160998,1,2160998.0,2160998.0,2160998,2160998,0.0,PushPop,:model.layers.0
1.4,2074669,1,2074669.0,2074669.0,2074669,2074669,0.0,PushPop,:model.layers.3
1.4,2056810,1,2056810.0,2056810.0,2056810,2056810,0.0,PushPop,:model.layers.27
1.3,2021249,1,2021249.0,2021249.0,2021249,2021249,0.0,PushPop,:model.layers.17
1.3,1968690,1,1968690.0,1968690.0,1968690,1968690,0.0,PushPop,:model.layers.14
1.3,1937109,1,1937109.0,1937109.0,1937109,1937109,0.0,PushPop,:model.layers.18
1.3,1909470,1,1909470.0,1909470.0,1909470,1909470,0.0,PushPop,:model.layers.9
1.3,1898000,1,1898000.0,1898000.0,1898000,1898000,0.0,PushPop,:model.layers.7
1.2,1782581,1,1782581.0,1782581.0,1782581,1782581,0.0,PushPop,:model.layers.5
1.2,1778411,1,1778411.0,1778411.0,1778411,1778411,0.0,PushPop,:model.layers.1
1.2,1740111,1,1740111.0,1740111.0,1740111,1740111,0.0,PushPop,:model.layers.20
1.2,1738920,1,1738920.0,1738920.0,1738920,1738920,0.0,PushPop,:model.layers.21
1.2,1736571,1,1736571.0,1736571.0,1736571,1736571,0.0,PushPop,:model.layers.19
1.2,1734911,1,1734911.0,1734911.0,1734911,1734911,0.0,PushPop,:model.layers.4
1.2,1727561,1,1727561.0,1727561.0,1727561,1727561,0.0,PushPop,:model.layers.22
1.2,1725261,1,1725261.0,1725261.0,1725261,1725261,0.0,PushPop,:model.layers.26
1.1,1721560,1,1721560.0,1721560.0,1721560,1721560,0.0,PushPop,:model.layers.2
1.1,1717520,1,1717520.0,1717520.0,1717520,1717520,0.0,PushPop,:model.layers.6
1.1,1711041,1,1711041.0,1711041.0,1711041,1711041,0.0,PushPop,:model.layers.25
1.1,1705731,1,1705731.0,1705731.0,1705731,1705731,0.0,PushPop,:model.layers.12
1.1,1704751,1,1704751.0,1704751.0,1704751,1704751,0.0,PushPop,:model.layers.8
1.1,1701831,1,1701831.0,1701831.0,1701831,1701831,0.0,PushPop,:model.layers.13
1.1,1701640,1,1701640.0,1701640.0,1701640,1701640,0.0,PushPop,:model.layers.16
1.1,1691911,1,1691911.0,1691911.0,1691911,1691911,0.0,PushPop,:model.layers.24
1.1,1690191,1,1690191.0,1690191.0,1690191,1690191,0.0,PushPop,:model.layers.23
1.1,1685811,1,1685811.0,1685811.0,1685811,1685811,0.0,PushPop,:model.layers.11
1.1,1685651,1,1685651.0,1685651.0,1685651,1685651,0.0,PushPop,:model.layers.15
1.1,1678461,1,1678461.0,1678461.0,1678461,1678461,0.0,PushPop,:model.layers.10
0.4,609706,1,609706.0,609706.0,609706,609706,0.0,PushPop,:model.rotary_emb
0.3,422128,1,422128.0,422128.0,422128,422128,0.0,PushPop,:model.layers.14.self_attn.k_norm
0.2,370018,1,370018.0,370018.0,370018,370018,0.0,PushPop,:model.layers.9.post_attention_layernorm
0.2,320039,1,320039.0,320039.0,320039,320039,0.0,PushPop,:model.embed_tokens
0.2,273629,1,273629.0,273629.0,273629,273629,0.0,PushPop,:model.layers.3.mlp.up_proj
0.2,263318,1,263318.0,263318.0,263318,263318,0.0,PushPop,:model.layers.0.input_layernorm
0.1,216768,1,216768.0,216768.0,216768,216768,0.0,PushPop,:model.layers.17.post_attention_layernorm
0.1,212189,1,212189.0,212189.0,212189,212189,0.0,PushPop,:model.layers.0.self_attn.q_norm
0.1,211209,1,211209.0,211209.0,211209,211209,0.0,PushPop,:model.layers.17.self_attn.k_norm
0.1,200799,1,200799.0,200799.0,200799,200799,0.0,PushPop,:model.layers.17.self_attn.q_norm
0.1,200729,1,200729.0,200729.0,200729,200729,0.0,PushPop,:model.layers.13.self_attn.k_norm
0.1,199798,1,199798.0,199798.0,199798,199798,0.0,PushPop,:model.layers.27.self_attn.k_norm
0.1,194979,1,194979.0,194979.0,194979,194979,0.0,PushPop,:model.layers.18.post_attention_layernorm
0.1,192249,1,192249.0,192249.0,192249,192249,0.0,PushPop,:model.layers.4.post_attention_layernorm
0.1,192119,1,192119.0,192119.0,192119,192119,0.0,PushPop,:model.layers.2.self_attn.q_norm
0.1,191839,1,191839.0,191839.0,191839,191839,0.0,PushPop,:model.layers.0.post_attention_layernorm
0.1,191159,1,191159.0,191159.0,191159,191159,0.0,PushPop,:model.layers.19.self_attn.k_norm
0.1,189289,1,189289.0,189289.0,189289,189289,0.0,PushPop,:model.layers.4.self_attn.q_norm
0.1,188819,1,188819.0,188819.0,188819,188819,0.0,PushPop,:model.layers.6.post_attention_layernorm
0.1,188730,1,188730.0,188730.0,188730,188730,0.0,PushPop,:model.layers.21.input_layernorm
0.1,188199,1,188199.0,188199.0,188199,188199,0.0,PushPop,:model.layers.1.input_layernorm
0.1,186719,1,186719.0,186719.0,186719,186719,0.0,PushPop,:model.layers.16.post_attention_layernorm
0.1,183249,1,183249.0,183249.0,183249,183249,0.0,PushPop,:model.layers.25.input_layernorm
0.1,182469,1,182469.0,182469.0,182469,182469,0.0,PushPop,:model.layers.8.post_attention_layernorm
0.1,182399,1,182399.0,182399.0,182399,182399,0.0,PushPop,:model.layers.2.post_attention_layernorm
0.1,182249,1,182249.0,182249.0,182249,182249,0.0,PushPop,:model.layers.6.self_attn.q_norm
0.1,182150,1,182150.0,182150.0,182150,182150,0.0,PushPop,:model.layers.6.input_layernorm
0.1,181779,1,181779.0,181779.0,181779,181779,0.0,PushPop,:model.layers.11.input_layernorm
0.1,180799,1,180799.0,180799.0,180799,180799,0.0,PushPop,:model.layers.7.self_attn.k_norm
0.1,180770,1,180770.0,180770.0,180770,180770,0.0,PushPop,:model.layers.26.input_layernorm
0.1,180419,1,180419.0,180419.0,180419,180419,0.0,PushPop,:model.layers.11.self_attn.k_norm
0.1,180379,1,180379.0,180379.0,180379,180379,0.0,PushPop,:model.layers.8.self_attn.q_norm
0.1,180189,1,180189.0,180189.0,180189,180189,0.0,PushPop,:model.layers.26.post_attention_layernorm
0.1,179890,1,179890.0,179890.0,179890,179890,0.0,PushPop,:model.layers.22.post_attention_layernorm
0.1,179649,1,179649.0,179649.0,179649,179649,0.0,PushPop,:model.layers.25.post_attention_layernorm
0.1,178969,1,178969.0,178969.0,178969,178969,0.0,PushPop,:model.layers.9.self_attn.k_norm
0.1,178889,1,178889.0,178889.0,178889,178889,0.0,PushPop,:model.layers.24.input_layernorm
0.1,177929,1,177929.0,177929.0,177929,177929,0.0,PushPop,:model.layers.22.input_layernorm
0.1,177249,1,177249.0,177249.0,177249,177249,0.0,PushPop,:model.layers.4.self_attn.k_norm
0.1,177179,1,177179.0,177179.0,177179,177179,0.0,PushPop,:model.layers.12.post_attention_layernorm
0.1,177159,1,177159.0,177159.0,177159,177159,0.0,PushPop,:model.layers.15.self_attn.k_norm
0.1,176689,1,176689.0,176689.0,176689,176689,0.0,PushPop,:model.layers.7.self_attn.q_norm
0.1,176339,1,176339.0,176339.0,176339,176339,0.0,PushPop,:model.layers.12.self_attn.q_norm
0.1,175699,1,175699.0,175699.0,175699,175699,0.0,PushPop,:model.layers.20.post_attention_layernorm
0.1,175479,1,175479.0,175479.0,175479,175479,0.0,PushPop,:model.layers.26.self_attn.q_norm
0.1,175249,1,175249.0,175249.0,175249,175249,0.0,PushPop,:model.layers.20.self_attn.k_norm
0.1,174049,1,174049.0,174049.0,174049,174049,0.0,PushPop,:model.layers.21.self_attn.q_norm
0.1,171249,1,171249.0,171249.0,171249,171249,0.0,PushPop,:model.layers.9.input_layernorm
0.1,171150,1,171150.0,171150.0,171150,171150,0.0,PushPop,:model.layers.12.input_layernorm
0.1,170349,1,170349.0,170349.0,170349,170349,0.0,PushPop,:model.layers.15.self_attn.q_norm
0.1,170279,1,170279.0,170279.0,170279,170279,0.0,PushPop,:model.layers.3.self_attn.k_norm
0.1,170259,1,170259.0,170259.0,170259,170259,0.0,PushPop,:model.layers.22.self_attn.q_norm
0.1,170129,1,170129.0,170129.0,170129,170129,0.0,PushPop,:model.layers.0.self_attn.k_norm
0.1,169829,1,169829.0,169829.0,169829,169829,0.0,PushPop,:model.layers.21.self_attn.k_norm
